timestamp,btc_oi,eth_oi,total_oi,btc_change_pct,eth_change_pct,total_change_pct
2025-01-27 14:03:47.700,8610227273.316,4905625235.6604,13515852508.9764,0.0,0.0,0.0
2025-01-27 14:04:49.632,8608197804.066,4903273464.1712,13511471268.2372,-0.0235704492527106,-0.047940300700202,-0.0324155707994803
2025-01-27 14:05:55.734,8621941163.745,4916805231.282001,13538746395.027,0.1596543201238859,0.2759741468567676,0.2018664455433442
2025-01-27 14:08:02.766,8644912703.630001,4930472417.871,13575385121.501,0.2664311835204217,0.2779688424923878,0.2706212628922492
2025-01-27 14:09:03.734,8643219694.470001,4927968673.5720005,13571188368.042002,-0.0195838780337128,-0.0507810223199852,-0.0309144338921981
2025-01-27 14:10:06.552,8637529755.379,4923198444.9046,13560728200.2836,-0.0658312445146104,-0.0967990866699786,-0.0770762845134027
2025-01-27 14:11:08.888,8639811397.994999,4923331000.5125,13563142398.5075,0.0264154530359601,0.0026924693242227,0.0178028656591565
2025-01-27 14:14:19.674,8632485518.122,4917674430.493199,13550159948.6152,-0.0847921272297596,-0.1148931489414714,-0.0957185990595236
2025-01-27 14:14:19.674,8632485518.122,4917674430.493199,13550159948.6152,0.0,0.0,0.0
2025-01-27 14:14:19.674,8632485518.122,4917674430.493199,13550159948.6152,0.0,0.0,0.0
2025-01-27 14:15:21.185,8628272958.043,4910181547.761001,13538454505.804,-0.0487989243672304,-0.1523663845198317,-0.086386012088333
2025-01-27 14:16:25.244,8631777489.904001,4905344184.6354,13537121674.539402,0.0406168404505,-0.0985169912466191,-0.0098447815001886
2025-01-27 14:17:27.556,8635844793.524,4908076034.9304,13543920828.4544,0.0471201166243705,0.0556913071167732,0.0502259939628447
2025-01-27 14:18:34.576,8632945835.939001,4905029357.1188,13537975193.0578,-0.0335688940029701,-0.0620747883675142,-0.0438989231545686
2025-01-27 14:19:36.169,8630513192.889,4906178454.387,13536691647.276,-0.0281785973899435,0.0234269192809662,-0.0094810764792766
2025-01-27 14:20:37.068,8627618382.475,4905465705.26,13533084087.735,-0.0335415791541191,-0.0145275825905299,-0.026650230610257
2025-01-27 14:20:37.068,8627618382.475,4905465705.26,13533084087.735,0.0,0.0,0.0
