timestamp,token_id,symbol,name,volume_24h,market_cap,agent_one_recommendation,agent_two_recommendation,price,agent_one_analysis,agent_two_analysis,coingecko_url
2025-01-12T10:09:21.481034,valleydao,GROW,ValleyDAO,104091.0,7398521.0,DO NOTHING,BUY,1.16,,,https://www.coingecko.com/en/coins/valleydao
2025-01-12T10:09:19.128648,pepe-trump,ptrump,Pepe Trump,101942.0,2782312.0,BUY,DO NOTHING,0.00273301,,,https://www.coingecko.com/en/coins/pepe-trump
2025-01-12T10:09:18.669101,fluffington,FLUFFI,Fluffington,104327.0,361944.0,BUY,DO NOTHING,0.00036385,,,https://www.coingecko.com/en/coins/fluffington
2025-01-12T10:09:05.475937,fuku-2,fuku,Fuku,108816.0,8441141.0,BUY,BUY,0.00859993,,,https://www.coingecko.com/en/coins/fuku-2
2025-01-12T10:09:03.713694,enkrypto,KRYPT,EnKrypto,105010.0,4536489.0,BUY,DO NOTHING,0.00478693,,,https://www.coingecko.com/en/coins/enkrypto
2025-01-12T10:09:02.859231,chill-drone,CHONE,Chill Drone,107544.0,1144810.0,BUY,DO NOTHING,0.001149,,,https://www.coingecko.com/en/coins/chill-drone
2025-01-12T10:08:50.860031,binance-coin-wormhole,BNB,Binance Coin (Wormhole),111047.0,0.0,DO NOTHING,BUY,691.7,,,https://www.coingecko.com/en/coins/binance-coin-wormhole
2025-01-12T10:08:49.986672,corn-2,CORN,Corn,113951.0,1294273.0,BUY,BUY,0.00129431,,,https://www.coingecko.com/en/coins/corn-2
2025-01-12T10:08:49.965598,l24ai-agent,L24AI,L24AI AGENT,111323.0,605123.0,BUY,DO NOTHING,0.00064586,,,https://www.coingecko.com/en/coins/l24ai-agent
2025-01-12T10:08:36.866455,based,BASED,BASED,116735.0,3757321.0,BUY,BUY,0.00379474,,,https://www.coingecko.com/en/coins/based
2025-01-12T10:08:32.460747,feenix,FEENIX,Feenix,122065.0,5243483.0,BUY,BUY,0.00653216,,,https://www.coingecko.com/en/coins/feenix
